ATT001,ATT002,ATT003,ATT005,ATT01,ATT02,ATT03,ATT05,ATT_1,ATT_2,ATT_3,ATT_5,ATT1,ATT2,ATT3,ATT5,ATT10,ATT20,ATT30,ATT50,,R_LATITUDE,R_LONGITUD,R_RAINHEIGHT,R_ALTITUDE,R_RAINHEIGHT2,R_HEIGHT,R_ANT_BEAM,ANTEN_DIAM,FIG_MERIT,XPD_0,OFF_AXIS,RELAT_LEV,RANGE_REC,INT_TIME,EXP_NO,DURATION,FREQUENCY,POLAR,ELEVATION,T_MED,DATA_SAMP,CALIB_INT,DAT_RES,RAIN_RES,FLAG1,FLAG2,FLAG3,FLAG4,RAIN_TIME,RR_001,RR_002,RR_003,RR_005,RR_01,RR_02,RR_03,RR_05,RR_1,RR_2,RR_3,RR_5,RR1,RR2,RR3,RR5,RR10,RR20,RR30,RR50,A_001,A_002,A_003,A_005,A_01,A_02,A_03,A_05,A_1,A_2,A_3,A_5,A1,A2,A3,A5,A10,A20,A30,A50,FLAG5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.4,285.9,3.7068,110,3.5968,0,0,0,0,0,0,0,0,0,2,365,11.7,45,27,0,0,0,0,0,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7,18.7,13.5,9.2,7.3,5,3,2.2,1.8,1.1,0.6,0,0,0,0,0,0,0,0E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.4,285.9,3.7068,110,3.5968,0,0,0,0,0,0,0,0,0,3,365,11.7,45,27,0,0,0,0,0,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,22.9,19.5,14.4,9.5,6.2,4.8,3.6,2.4,1.8,1.5,1,0.6,0,0,0,0,0,0,0,0E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.4,285.9,3.7068,110,3.5968,0,0,0,0,0,0,0,0,0,4,700,19,90,18.5,0,0,0,0,0,0.00,0.00,0.01,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,29.7,25,18.3,12,7.3,5.5,3.9,2.5,0,0,0,0,0,0,0,0E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.4,285.9,3.7068,110,3.5968,0,0,0,0,0,0,0,0,0,5,365,19,69,38.6,0,0,0,0,0,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,32.8,22,16.2,13.5,9.9,6.5,4.6,3.8,2.9,2,0,0,0,0,0,0,0,0E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.4,285.9,3.7068,110,3.5968,0,0,0,0,0,0,0,0,0,6,365,19,21,38.6,0,0,0,0,0,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,34.5,24,17.5,14.5,10.6,7,4.9,4,3,2,0,0,0,0,0,0,0,0E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.4,285.9,3.7068,110,3.5968,0,0,0,0,0,0,0,0,0,7,365,28.6,69,38.6,0,0,0,0,0,0.00,0.00,0.01,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,33.1,28,20.9,14,9.8,8,6,4,0,0,0,0,0,0,0,0E
0,0,0,0,3.781635038,2.222147529,1.618754936,1.053106501,0.565202147,0.271508712,0.177475931,0,0,0,0,0,0,0,0,0,,39.2,282.7,3.9662,180,3.7862,0,0,0,0,0,0,0,0,0,1,365,11.6,0,42,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,80,51,39,27.1,16,8.6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,7.5,6.3,5.1,3.8,2.8,2.4,0,0,0,0,0,0,0,0,0,N
0,0,0,4.650541743,3.127935137,1.72345739,1.223753612,0.773285897,0.431671061,0.253782336,0.180200017,0.104628629,0.048738034,0,0,0,0,0,0,0,,39.2,282.7,3.9662,180,3.7862,0,0,0,0,0,0,0,0,0,2,365,11.6,0,21,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,92.1,66,40,30,20.4,12.5,8,6,3.8,2,0,0,0,0,0,0,0,0,0,0,0,6.8,5.7,5.1,4.1,3,1.9,1.5,0,0,0,0,0,0,0,0,0,N
0,0,0,2.965233159,2.174883147,1.283629013,0.958897151,0.6334038,0.363508831,0.231204388,0.177622456,0.11982753,0.072182634,0,0,0,0,0,0,0,,39.2,282.7,3.9662,180,3.7862,0,0,0,0,0,0,0,0,0,3,365,11.6,0,41,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,65,50,32,25,17.6,11,7.5,6,4.3,2.8,0,0,0,0,0,0,0,0,0,0,0,8.5,5.4,4.1,3.2,2.3,1.4,1,0,0,0,0,0,0,0,0,0,N
0,0,0,3.903388514,3.219932484,2.113616383,1.762029895,1.087302674,0.605922142,0.297327863,0.177255459,0.113090821,0.054242268,0,0,0,0,0,0,0,,39.2,282.7,3.9662,180,3.7862,0,0,0,0,0,0,0,0,0,4,365,11.6,0,43.5,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,82.4,70,49,42,27.9,17,9.3,6,4.1,2.2,0,0,0,0,0,0,0,0,0,0,0,8.9,6.9,6,4.1,2.5,1.4,1,0,0,0,0,0,0,0,0,0,N
